id,category,title,status,due,cadence,eta,assignee,note,tags
"tk-1","Doors, Locks, Gates & Alarms","Test operation of doors and locks.","skipped","Due last week","Weekly","45m","Bruce Wayne","Logbook entry pending.","Regulatory; Logs; Maintenance"
"tk-2","Emergency Power Generators","Visual inspection or exercise generator (with no load), perform routine checks, create entry in logbook.","overdue","Due last week","Weekly","1h","Sasha P.","","Regulatory; Logs; Maintenance"
"tk-3","Water Temperature Checks","Test and log the hot water temperatures.","skipped","Due last week","Weekly","30m","Diane K.","Logbook entry pending.","Regulatory; Logs; Maintenance"
"tk-4","Refrigerator/Freezer Combos","Check temperatures in freezers and refrigerators.","skipped","Due last week","Daily","20m","Diane K.","Logbook entry pending.","Logs; Maintenance"
"tk-5","Emergency Power Generators","Visual inspection or exercise generator (with no load), perform routine checks, create entry in logbook.","open","Due Fri, May 16","Weekly","1h","","","Regulatory; Logs; Maintenance"
"tk-6","Fire Extinguishers","Monthly visual inspection — verify charge, access, and tag.","open","Due Thu, May 22","Monthly","1h 30m","Marco D.","","Regulatory; Logs"
"tk-7","HVAC","Replace air handler filters — common areas.","open","Due Fri, May 23","Monthly","2h","Jacob B.","","Maintenance"
"tk-8","Doors, Locks, Gates & Alarms","Test operation of doors and locks.","completed","Completed Wed, May 14","Weekly","45m","Bruce Wayne","","Regulatory; Logs; Maintenance"
"tk-9","Water Temperature Checks","Test and log the hot water temperatures.","completed","Completed Wed, May 14","Weekly","30m","Marco D.","","Regulatory; Logs; Maintenance"
"tk-10","Refrigerator/Freezer Combos","Check temperatures in freezers and refrigerators.","completed","Completed Thu, May 15","Daily","20m","Diane K.","","Logs; Maintenance"
"tk-11","Ansul","Have Fire Suppression System inspected by outside contractor","open","Due May 30","Monthly","2h","","","Regulatory; Requires Doc; Maintenance"
"tk-12","Detectors","Change batteries in battery-operated smoke detectors","open","Due May 28","Monthly","1h 30m","","","Regulatory; Maintenance"
"tk-13","Emergency Preparedness Drills","Conduct elopement drill (Missing Resident Drill)","skipped","Due last month","Monthly","45m","","Documentation outstanding.","Regulatory; Requires Doc; Logs; Maintenance"
"tk-14","Emergency & Exit Lighting","Check illumination of exit lighting and exit signs.","open","Due May 27","Monthly","30m","Bruce Wayne","","Regulatory; Logs; Maintenance"
"tk-15","Equipment","Patient-Care Related Electrical Equipment Testing and Maintenance","skipped","Due last month","Monthly","2h","","Logbook entry pending.","Regulatory; Requires Doc; Maintenance"
"tk-16","Fire Drills","Perform a fire drill during 1st shift — upload signature sheet to TELS","open","Due May 29","Monthly","30m","","","Regulatory; Requires Doc; Logs; Maintenance"
"tk-17","Fire Sprinkler System","Semi-annual contractor testing","skipped","Due last month","Monthly","3h","","Contractor schedule + doc upload pending.","Regulatory; Requires Doc; Maintenance"
"tk-18","Nurse Call Systems","Conduct a test of the nurse call system.","overdue","Due last month","Monthly","1h","","Critical — life-safety overdue.","Regulatory; Logs; Maintenance"
"tk-19","Beds — Electric","Inspect bed rails","open","Due May 26","Monthly","45m","","","Maintenance"
"tk-20","Facility Safety","Quarterly facility safety walkthrough","skipped","Due last month","Quarterly","1h 30m","","Documentation outstanding.","Requires Doc; Maintenance"
"tk-21","Exhaust Fans","Inspect exhaust fans for proper operation and clean if necessary","open","Due May 28","Monthly","1h","","","Maintenance"
"tk-22","Fire Extinguishers","Check and initial fire extinguishers","completed","Completed Tue, May 13","Monthly","1h","Marco D.","","Regulatory; Maintenance"
"tk-23","Emergency & Exit Lighting","Check illumination of exit lighting and exit signs.","completed","Completed Mon, May 12","Monthly","30m","Bruce Wayne","","Regulatory; Logs; Maintenance"
"tk-24","Exhaust Fans","Inspect exhaust fans for proper operation and clean if necessary","completed","Completed Wed, May 14","Monthly","1h","Diane K.","","Maintenance"
"tk-25","HVAC (RTU)","Clean / change air filter and verify unit operation","completed","Completed Thu, May 15","Monthly","1h 30m","Bruce Wayne","","Maintenance"
