group,metric,value,detail
"Operational Readiness","Regulatory Comp.","94%","Regulatory compliance completion"
"Operational Readiness","PM Comp.","82%","Preventive-maintenance completion"
"Operational Readiness","Total Task Comp.","76%","All-task completion rate"
"Operational Readiness","Document Upload","88%","Required documents uploaded to TELS"
"Operational Readiness","Active Tasks","47","Open tasks across the facility"
"Operational Readiness","WO > 30 Days","6","Work orders open longer than 30 days"
"Operational Readiness","Avg. WO Time","2.4d","Average time to close a work order"
"Operational Readiness","Unit Turn Ready","67%","Units inspection-ready on the target date"
"30-Day Calibration","Recommendations accepted","82%","+11 pts — share of AI recommendations approved without changes (71% on Apr 16)"
"30-Day Calibration","Override rules learned","6","this month — override patterns the AI generalized into reusable rules (0 on Apr 16)"
"30-Day Calibration","WO aging reduced","14%","vs. Day 1 — reduction in average work-order age vs. the Day 1 baseline"
"30-Day Calibration","Unit-turn readiness","+9%","67% to 76% — percent of units inspection-ready on the target date"
"30-Day Calibration","PM completion trend","82 to 88%","projected EOM — preventive-maintenance completion, projected to end of month"
"30-Day Calibration","Repeat-issue patterns","3 found","HVAC · Memory Care East — recurring asset-failure clusters surfaced for vendor review"
